titulo;director;productor;a�o;idioma;pais;formato;minutos;premier_mundial;compania_productora;premios;web_entradas;sinopsis_es;reparto;tipo
Prison System 4614;Jan ,Soldat;"";2015;"";"";DM;60 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150304;"";"";Pelicula
Alegrías del hogar;Alejandro Giorlando;Shamila Arguello;2014;Castellano;Argentina;ProRes LT;14 min;si;No poseemos;"";"";"";"";Cortometraje
55 pastillas;Sebastián Muro;Sebastián Muro;2015;Español;Argentina;DCP;13 min;si;Sebastián Muro;"";"";"";"";Cortometraje
RANDOM;Martina López Robol;Martina López Robol;2015;ESPAÑOL;Argentina;ProRes LT;14 min;si;Chelita ;"";"";"";"";Cortometraje
The Flower Girl;Choe ,Ik-kyu;"";1972;"";"";DM;121 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150354;"<p>A menudo considerada la Lo que el viento se llev&oacute; norcoreana, The Flower Girl es la adaptaci&oacute;n f&iacute;lmica de una &oacute;pera escrita por el &ldquo;Gran L&iacute;der&rdquo; Kim Il Sung. T&iacute;pica de un cine que busca celebrar los ideales revolucionarios, la pel&iacute;cula describe una Corea bajo el dominio del Jap&oacute;n imperial donde los siervos son poco m&aacute;s que enseres de sus empleadores. El personaje del t&iacute;tulo vende flores para ayudar a su estresada madre viuda y a su hermanita ciega, mientras espera que su hermano mayor cumpla su promesa de regresar a rescatarlas de la terrible opresi&oacute;n.</p>";<p>Hong Youg-hui, Pak Hwa-son</p>;Pelicula
Tale of Chun Hyang;Yu ,Won-jun;"";1980;"";"";DM;147 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150347;"<p>Como muchas otras sociedades, Corea fue gobernada alguna vez por pr&iacute;ncipes y reyes, y su bien definida estructura de clase aristocr&aacute;tica forma la base de Tale of Chun Hyang. La pel&iacute;cula es la adaptaci&oacute;n de un relato tradicional coreano sobre el amor imposible entre una hermosa muchacha hija de un noble y su kisaeng (concubina coreana) y un joven arist&oacute;crata, el tierno Mong Ryong, de quien ella es considerada indigna. Su matrimonio secreto parece condenado cuando Mong Ryong parte a Se&uacute;l y se ausenta por tres largos a&ntilde;os, tiempo durante el que no se sabe nada de &eacute;l.</p>";<p>Kim Sung-gu, Paek In-jun</p>;Pelicula
Tale of Chun Hyang;Yun ,Ryong-gyu  ;"";1980;"";"";DM;147 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150347;"<p>Como muchas otras sociedades, Corea fue gobernada alguna vez por pr&iacute;ncipes y reyes, y su bien definida estructura de clase aristocr&aacute;tica forma la base de Tale of Chun Hyang. La pel&iacute;cula es la adaptaci&oacute;n de un relato tradicional coreano sobre el amor imposible entre una hermosa muchacha hija de un noble y su kisaeng (concubina coreana) y un joven arist&oacute;crata, el tierno Mong Ryong, de quien ella es considerada indigna. Su matrimonio secreto parece condenado cuando Mong Ryong parte a Se&uacute;l y se ausenta por tres largos a&ntilde;os, tiempo durante el que no se sabe nada de &eacute;l.</p>";<p>Kim Sung-gu, Paek In-jun</p>;Pelicula
A Bellflower;Jo,Kyun-soon;"";1987;"";"";DM;92 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150105;"<p>Las exhortaciones a poner el bien com&uacute;n por sobre la ambici&oacute;n personal son un tema recurrente en la sociedad norcoreana, guiada por el Pensamiento Juche de la autosuficiencia. En A Bellflower, un hombre cruza las monta&ntilde;as de regreso a su antiguo hogar luego de estar fuera muchos a&ntilde;os, lleno de arrepentimiento por su decisi&oacute;n juvenil de seguir una complaciente vida vagabunda mientras su amada se quedaba atr&aacute;s ayudando a convertir su humilde ciudad natal, Pyokgye-ri, en una aldea modelo del socialismo.</p>";<p>Kim Ryung-jo,&nbsp,Oh Mi-ran, Song Yeon-ock</p>;Pelicula
A Schoolgirl’s Diary;Jang,In-hak;"";2006;"";"";DM;94 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150109;"<p>La estudiante del t&iacute;tulo, Su-ryeon, podr&iacute;a ser vista como la encarnaci&oacute;n actual de la protagonista de The Flower Girl. Lleva una vida modestamente c&oacute;moda, con una familia que la quiere, y recibe una buena educaci&oacute;n. Pero le molesta la ausencia frecuente de su padre, que trabaja como investigador cient&iacute;fico, y tambi&eacute;n la devoci&oacute;n acr&iacute;tica de su madre hacia &eacute;l. Habi&eacute;ndose prometido no repetir los &ldquo;errores&rdquo; de sus padres, Su-ryeon llega eventualmente a apreciar sus sacrificios por el bien com&uacute;n y elige dedicar su propia vida a la ciencia.</p>";<p>Pak Mi-hyang, Kim Cheol,&nbsp,Kim Yeong-suk, Shin Hak-myeong</p>;Pelicula
L’Abri;Fernand ,Melgar ;"";2014;"";"";DM;101 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150237;"<p>Una nueva mirada frontal a las cunetas de Suiza/Europa/el Primer Mundo: la cotidianeidad de un albergue en Lausana que permite la entrada de &uacute;nicamente cincuenta inmigrantes por noche, lo que motiva un escalofriante ritual diario de selecci&oacute;n. Melgar evita subrayar y denunciar exponiendo la realidad en bruto, mientras cede la palabra a personas que afrontan su propia situaci&oacute;n con una dignidad indiscutible. Y, como contraste no poco revelador, tambi&eacute;n procede al retrato de las reglas internas de funcionamiento del heterog&eacute;neo grupo de profesionales que administra el centro. Alejandro D&iacute;az Casta&ntilde;o</p>";"";Pelicula
Broken Land;Stéphanie,Barbey;"";2014;"";"";DCP;75 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150133;"<p>En medio de un paisaje semides&eacute;rtico, siete americanos que habitan a la sombra del inmenso vallado erigido para controlar la inmigraci&oacute;n mexicana cuentan c&oacute;mo la frontera transforma sus vidas. Observan las huellas repetidas que dejan los migrantes &ndash;personas a las que nunca vieron cara a cara&ndash; al cruzar, mientras confiesan su miedo, su enojo y a veces hasta su compasi&oacute;n. Broken Land revela detalles que no se olvidan f&aacute;cilmente, como, por ejemplo, que los gavilanes se reproducen m&aacute;s r&aacute;pido en la frontera que en cualquier otra zona: aqu&iacute; abunda la carro&ntilde;a.</p>";"";Pelicula
Broken Land;Luc,Peter  ;"";2014;"";"";DCP;75 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150133;"<p>En medio de un paisaje semides&eacute;rtico, siete americanos que habitan a la sombra del inmenso vallado erigido para controlar la inmigraci&oacute;n mexicana cuentan c&oacute;mo la frontera transforma sus vidas. Observan las huellas repetidas que dejan los migrantes &ndash;personas a las que nunca vieron cara a cara&ndash; al cruzar, mientras confiesan su miedo, su enojo y a veces hasta su compasi&oacute;n. Broken Land revela detalles que no se olvidan f&aacute;cilmente, como, por ejemplo, que los gavilanes se reproducen m&aacute;s r&aacute;pido en la frontera que en cualquier otra zona: aqu&iacute; abunda la carro&ntilde;a.</p>";"";Pelicula
"Ultrasonido; la capacidad de percibir lo inaudible";Juan Otegui;Juan Otegui;2014;Español;Argentina;FULL HD;20 min;si;Sarte Voló Producciones;"";"";"";"";Cortometraje
La Novia de Frankestein;Agostina Galvez;Agostina Galvez;2015;Español;Argentina;ProRes LT;11 min;si;Galvez Lima;"";"";"";"";Cortometraje
DICIEMBRE;Lucía Salas, Lucrecia Kelmansky;Lucia Salas, Lucrecia Kelmansky;2014;castellano;Argentina;hdcam;00 min;si;el círculo rojo;"";"";"";"";Cortometraje
vivir sobreviviri;sergio gurrola;sergio gurrola/ paula markovitch;2014;vivir sobrevivir;México;hdcam;18 min;si;valdivi1 100 int 107;ninguno;"";"";"";Cortometraje
Un aplauso al que vive;Florencia Inés González;Florencia Inés González;2014;español;Argentina;DCP, HDCAM;68 min;si;LaOtraZala;"";"";"";"";Largometraje
Dark Star - HR Giger’s World;Belinda ,Sallin;"";2014;"";"";DM;95 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150152;"<p>&iquest;Qui&eacute;n se escond&iacute;a tras el creador del c&eacute;lebre Alien? El artista HR Giger fue capaz de dar vida a criaturas a la vez aterradoras y extra&ntilde;amente atractivas. Hizo de nuestros miedos su terreno de juego; cartografi&oacute; nuestras pesadillas; sac&oacute; a la luz aquello que todos preferir&iacute;amos enterrar. Sencillo y divertido, HR Giger vivi&oacute; en el coraz&oacute;n de Zurich en un universo paralelo, fuera del tiempo. Tras sus persianas cerradas se desvanec&iacute;an las fronteras entre el d&iacute;a y la noche. En Dark Star, Sallin explora ese mundo privado para conseguir el retrato de un artista excepcional.</p>";<p>Hansruedi &ldquo,HR&rdquo, Giger, Carmen Maria Giger, Stanislav Grof, Hans H. Kunz, Leslie Barany</p>;Pelicula
Iraqi Odyssey;Samir  ,.;"";2014;"";"";DCP/3D;162 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150213;"<p>Aunque no hay estad&iacute;sticas precisas, se estima que entre cuatro y cinco millones de iraqu&iacute;es viven fuera de su pa&iacute;s en la actualidad. Samir naci&oacute; en Bagdad y vive en Suiza desde ni&ntilde;o, en tanto que los miembros de su numerosa familia est&aacute;n desparramados por todo el mundo. Rastreando sus migraciones por m&aacute;s de medio siglo, en esta fascinante &eacute;pica documental en 3D, les rinde un emotivo homenaje a los frustrados sue&ntilde;os democr&aacute;ticos de un pueblo asolado por los horrores de la dictadura, la guerra y la ocupaci&oacute;n extranjera.</p>";"";Pelicula
Padrone e sotto;Michele ,Cirigliano;"";2014;"";"";DCP;72 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150290;"<p>En un bar ruinoso del sur de Italia, los paisanos se re&uacute;nen cada d&iacute;a a jugar &ldquo;padrone e sotto&rdquo;, un juego de naipes y bebida. Mientras la cerveza y los &aacute;nimos de los campesinos, enfermeros, mec&aacute;nicos y cazadores se calientan, Cirigliano recuerda la fascinaci&oacute;n y el terror que le provocaban, de ni&ntilde;o, ese pasatiempo misterioso y sus jugadores enardecidos. Por detr&aacute;s del aparente placer de la diversi&oacute;n entre amigos, Padrone e sotto descubre el deseo innato, escondido en cada uno de nosotros, de conseguir amor, reconocimiento y poder.</p>";<p>Enza Molinari, Minguccio Amato, Paolo Dabraio, Nicola Santoro, Nicola Ditella</p>;Pelicula
Sleepless in New York;Christian ,Frei ;"";2014;"";"";DCP;92 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150332;"<p>El desamor, muchas veces minimizado como apenas una dolencia juvenil, es el tema de este documental sensible y emotivo. Christian Frei se zambulle en las noches fren&eacute;ticas de los reci&eacute;n abandonados; noches llenas de dolor y l&aacute;grimas, aunque tambi&eacute;n de vigilia y creatividad. Una antrop&oacute;loga investiga los asombrosos y profundos procesos que se desarrollan en la mente de quien sufre por amor. &iquest;Habr&aacute; exagerado la naturaleza? Sleepless in New York explora el dif&iacute;cil camino que va desde el comportamiento obsesivo y autodestructivo hacia un nuevo yo. Y se pregunta por la b&uacute;squeda inquebrantable, a pesar de todo, del amor.</p>";<p>Helen Fisher,&nbsp,Alley Scott, Michael Hariton, Rosey La Rouge</p>;Pelicula
American Interior;Gruff ,Rhys;"";2014;"";"";DCP;84 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150115;"<p>American Interior es muchas cosas a la vez: un documental, un disco, una conferencia con PowerPoint, una app, un libro. Esta dimensi&oacute;n transmedia de una obra que, adem&aacute;s, rebusca en los vestigios de una lengua y una cultura minoritaria (en este caso, la galesa) es la que la hace tan merecedora de subvenciones y palmaditas institucionales en la espalda. Podr&iacute;a sonar aburrido si no fuera porque American Interior es tambi&eacute;n una odisea pop delirante, una road movie extravagante y casi un relato de bromance entre un m&uacute;sico y un&hellip; muppet. No hay muchos rockumentaries as&iacute; de estrafalarios (quiz&aacute;s Separado!, la anterior aventura de Dylan Goch y Gruff Rhys). Porque, al final, m&aacute;s all&aacute; de que sigue las huellas del viaje del explorador gal&eacute;s John Evans por Estados Unidos durante el siglo XVIII, la pel&iacute;cula es el testimonio de la percepci&oacute;n pop de un pa&iacute;s y de un paisaje concreto. En los momentos en que esa imagen pop externa coincide con la que se trae Gruff Rhys de casa (y qu&eacute; maravillos&iacute;simas canciones lleva como equipaje, por cierto), se encuentra el verdadero sentido de este viaje. Joan Pons</p>";<p>Keith Bear, Kliph Scurlock, Cory Spotted Bear, Edwin Benson, Gwyn &lsquo,Alf&rsquo, Williams</p>;Pelicula
American Interior;Dylan ,Goch;"";2014;"";"";DCP;84 min;"";"";"";https://www.tuentrada.com/bafici/Online/default.asp?doWork::WScontent::search=1&BOset::WScontent::SearchCriteria::search_criteria=bafici20150115;"<p>American Interior es muchas cosas a la vez: un documental, un disco, una conferencia con PowerPoint, una app, un libro. Esta dimensi&oacute;n transmedia de una obra que, adem&aacute;s, rebusca en los vestigios de una lengua y una cultura minoritaria (en este caso, la galesa) es la que la hace tan merecedora de subvenciones y palmaditas institucionales en la espalda. Podr&iacute;a sonar aburrido si no fuera porque American Interior es tambi&eacute;n una odisea pop delirante, una road movie extravagante y casi un relato de bromance entre un m&uacute;sico y un&hellip; muppet. No hay muchos rockumentaries as&iacute; de estrafalarios (quiz&aacute;s Separado!, la anterior aventura de Dylan Goch y Gruff Rhys). Porque, al final, m&aacute;s all&aacute; de que sigue las huellas del viaje del explorador gal&eacute;s John Evans por Estados Unidos durante el siglo XVIII, la pel&iacute;cula es el testimonio de la percepci&oacute;n pop de un pa&iacute;s y de un paisaje concreto. En los momentos en que esa imagen pop externa coincide con la que se trae Gruff Rhys de casa (y qu&eacute; maravillos&iacute;simas canciones lleva como equipaje, por cierto), se encuentra el verdadero sentido de este viaje. Joan Pons</p>";<p>Keith Bear, Kliph Scurlock, Cory Spotted Bear, Edwin Benson, Gwyn &lsquo,Alf&rsquo, Williams</p>;Pelicula
Los senderos del Saunterer;Manuel Torres;Walter Santoro;2014;Español, Inglés, Alemán. ;Argentina;ProRes LT;72 min;si;Fundación Industrias Culturales Argentinas;Sin premios;"";"";"";Cortometraje
Círculo;Eduardo Pinto;Eduardo Pinto;2014;Español;Argentina;Archivos digitales;08 min;si;Eusebia y la Higuera;-;"";"";"";Cortometraje
Igual que los perros;Mateo Kesselman;Mateo Kesselman;2015;Castellano;Argentina;DCP;25 min;si;Mateo Kesselman;no;"";"";"";Cortometraje
Old Fashioned;Lucas Galambos;Lucas Galambos, Santiago Vaquero;2014;Español;Argentina;Apple ProRes 422 (HQ);21 min;si;Unicornio Cine;"";"";"";"";Cortometraje
